Technology	Initial_Installed_Capacity
Power_Grid	2000.0
ElectricBoiler	1121.964
HP_LT	32.186
HP_MT	0.0
PV	0.0
P2G	0.0
G2P	0.0
GasBoiler	0.0
GasBoiler_CCS	0.0
CHP	0.0
CHP_CCS	0.0
Biogas_Grid	1000.0
CH4_Grid	1000.0
CH4_H2_Mixer	0.0
DieselReserveGenerator	0.0
H2_Grid	1000.0
